person_age,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_log
21,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,11.782960235741939
22,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,12.524530013005734
26,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,12.479913113434042
25,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,12.309761264347044
22,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,11.156264806643742
22,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,9.392745258631441
26,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,12.468440756144114
25,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,12.464587201678082
24,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,12.449022745701502
25,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,12.429220196836383
25,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,9.392745258631441
22,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,10.949946527983677
21,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,9.392745258631441
23,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,11.082157933374816
26,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,11.350418300109132
26,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,9.392745258631441
22,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,11.385103457032141
21,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,9.392745258631441
22,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,9.392745258631441
24,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,11.326656125928176
24,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,12.429220196836383
25,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,11.51293546492023
26,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,11.608244735642321
26,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,9.392745258631441
22,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,11.58989576532275
23,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,11.926365356462313
24,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,11.141876276228
21,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,9.392745258631441
22,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,11.156264806643742
22,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,12.388398368982115
26,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,11.200964361058276
24,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,11.326607934898927
24,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,11.203679214602607
23,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,11.042937835596494
23,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,11.695255355062795
24,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,9.422301633887823
22,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,11.002116507732017
25,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,12.36308066783498
24,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,12.36308066783498
26,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,12.36308066783498
25,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,12.30594060467835
26,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,12.356649805075568
25,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,12.345838935721968
23,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,11.326607934898927
22,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,9.441531454869693
25,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,9.441531454869693
21,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,10.657282884047461
24,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,10.62135173563291
25,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,9.458527693729824
24,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,9.469700127423375
26,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,12.328294703023394
25,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,12.323860125621126
26,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,12.269052139516223
24,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,12.323860125621126
24,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,9.469700127423375
23,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,9.47247384058159
22,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,10.645448706505872
26,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,10.778977123006351
25,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,9.47247384058159
22,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,9.47247384058159
25,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,10.65398340661328
21,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,10.799595985047786
25,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,12.323860125621126
26,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,12.323860125621126
23,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,12.323860125621126
26,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,12.323860125621126
22,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,10.809020627757324
23,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,10.819798284210286
25,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,10.819798284210286
24,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,10.691967639914864
23,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,10.819798284210286
22,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,10.819878279410617
22,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,10.819878279410617
22,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,10.859018228147887
23,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,9.488047863280759
24,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,12.301387370778713
23,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,12.283038316285214
25,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,12.283038316285214
26,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,12.283038316285214
23,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,12.278397958261774
26,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,12.278397958261774
23,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,10.859018228147887
26,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,10.736418414365376
22,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,10.87806606028079
26,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,10.757924157061597
23,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,10.757924157061597
23,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,9.488047863280759
21,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,9.488047863280759
22,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,12.25486757159303
26,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,12.25486757159303
26,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,10.778977123006351
22,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,10.915033917272405
24,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,10.915106645867503
23,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,10.915106645867503
23,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,10.915106645867503
24,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,10.918083973194406
26,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,10.933124826700707
24,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,12.223426197857627
23,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,12.154784614286667
23,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,9.541153770388567
24,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,11.002116507732017
24,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,11.002116507732017
26,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,10.896757843893464
23,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,9.546884034617925
24,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,12.206077645517674
24,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,12.206077645517674
21,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,12.206077645517674
25,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,10.896757843893464
23,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,11.002116507732017
23,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,11.002116507732017
21,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,11.002116507732017
25,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,11.034244294530804
22,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,10.94024216782542
23,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,12.206077645517674
21,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,12.206077645517674
24,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,12.206077645517674
26,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,12.206077645517674
25,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,12.206077645517674
24,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,12.206077645517674
24,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,11.097425172408931
22,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,11.097425172408931
22,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,12.206077645517674
25,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,12.206077645517674
25,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,12.206077645517674
25,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,12.206077645517674
24,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,12.206077645517674
24,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,11.002116507732017
21,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,9.575052927597383
26,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,11.11240312125122
23,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,11.112462823634855
24,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,11.112462823634855
24,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,11.127277689932466
25,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,11.141876276228
25,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,12.206077645517674
26,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,12.144202560946876
26,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,12.206077645517674
25,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,11.156207662970246
22,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,9.575052927597383
24,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,11.156264806643742
24,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,9.575052927597383
24,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,10.934908916663861
25,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,11.097425172408931
26,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,11.097425172408931
25,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,9.575052927597383
25,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,11.192899248143839
23,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,11.211833885608513
25,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,11.225256725762893
24,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,12.165255859329688
25,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,12.160033942617156
26,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,12.15636230813118
22,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,12.154784614286667
24,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,11.225256725762893
22,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,11.170449240431308
26,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,12.154784614286667
23,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,12.154763561544284
23,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,11.264476926102367
23,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,11.264476926102367
23,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,11.270917596009623
25,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,12.133507329024972
24,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,N,2,12.128116509451258
25,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,12.128116509451258
24,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,11.035711906538346
23,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,11.282467730111303
21,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,9.575052927597383
24,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,11.285171301098336
24,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,11.28518385878521
21,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4,9.575052927597383
24,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,11.289794413577894
26,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,11.289794413577894
22,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,12.128116509451258
26,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,12.128116509451258
24,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,12.128073265506755
23,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,12.122696471358964
24,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,12.055255569732177
24,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,12.117246896289503
22,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.01,N,2,12.117246896289503
25,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,12.116984568235837
23,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,11.211887937471289
26,RENT,10.0,DEBTCONSOLIDATION,D,25000,10.99,1,0.34,Y,4,11.211887937471289
25,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,11.302216779257382
23,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,11.309596795779068
24,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,11.314486721293981
24,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,11.326607934898927
24,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,11.326607934898927
24,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,12.100717685412471
23,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,12.100717685412471
23,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,9.575052927597383
22,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,9.575052927597383
22,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,11.344518647594766
24,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,11.350418300109132
24,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,12.100717685412471
26,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,12.100717685412471
25,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,11.869207331664223
23,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,10.99,1,0.41,N,4,9.593218981411551
24,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,11.373674891823535
24,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,11.225256725762893
23,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,11.23850177707664
23,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,11.100677404565232
25,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,11.407576060361786
21,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,9.61587214452889
26,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,12.100717685412471
24,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,12.100717685412471
25,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,12.100717685412471
26,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,12.100717685412471
25,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,12.100717685412471
23,OWN,7.0,MEDICAL,B,4475,10.99,1,0.3,N,4,9.61587214452889
23,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,11.264476926102367
25,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,11.101960259016467
23,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3,11.407576060361786
24,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4,11.277215789596893
24,RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,Y,3,11.427378469795439
25,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,N,3,11.429554725537322
24,RENT,1.0,VENTURE,C,25000,12.73,0,0.27,Y,4,11.429554725537322
23,RENT,3.0,VENTURE,D,25000,15.21,0,0.27,N,4,11.446796346169297
23,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,0.12,Y,3,9.61587214452889
23,RENT,3.0,MEDICAL,F,25000,19.04,1,0.3,Y,4,11.164091131524941
25,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,Y,3,11.336200219573199
26,MORTGAGE,3.0,VENTURE,A,2600,8.9,0,0.01,N,4,12.07254696717504
25,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,N,2,12.07254696717504
22,MORTGAGE,6.0,EDUCATION,B,18000,10.99,0,0.1,N,2,12.07254696717504
23,MORTGAGE,8.0,PERSONAL,B,21000,11.99,0,0.12,N,3,12.07254696717504
23,OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,1,0.27,N,4,9.61587214452889
23,OWN,4.0,VENTURE,B,4600,10.99,1,0.31,N,2,9.61587214452889
22,RENT,6.0,DEBTCONSOLIDATION,D,25000,15.58,1,0.28,Y,2,11.385103457032141
25,RENT,2.0,MEDICAL,B,25000,10.99,1,0.28,N,2,11.222586532857163
25,RENT,0.0,VENTURE,D,25000,14.96,1,0.28,N,4,11.385103457032141
25,OWN,2.0,HOMEIMPROVEMENT,D,1750,15.31,0,0.12,Y,4,9.61587214452889
26,RENT,2.0,VENTURE,D,25000,15.65,1,0.28,N,3,11.385103457032141
25,RENT,1.0,VENTURE,B,25000,9.33,0,0.25,N,4,11.51293546492023
23,MORTGAGE,0.0,PERSONAL,C,3600,13.47,1,0.24,N,4,9.61587214452889
24,RENT,8.0,PERSONAL,B,25000,10.36,0,0.24,N,3,11.536651757164861
24,RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,Y,4,11.429554725537322
23,RENT,0.0,DEBTCONSOLIDATION,D,25000,14.59,1,0.27,Y,2,11.440365524765756
22,RENT,6.0,VENTURE,C,3500,11.91,0,0.02,Y,2,12.07254696717504
23,MORTGAGE,3.0,EDUCATION,A,7200,8.38,0,0.04,N,3,12.07254696717504
